1210921311013	17,0
1210921211025	15,0
1210921211014	15,0
1210921211028	 7,0
1210921111041	12,0
1210921211001	12,0
1210921111030	 4,0
1210921211005	 7,0
1210921211037	12,0
1210921211024	11,0
1210921311013	 8,0
1210921211025	12,0
1210921211014	11,0
1210921211028	10,0
1210921111041	 9,0
1210921211001	12,0
1210921111030	14,0
1210921211005	17,0
1210921211037	 2,0
1210921211024	11,0
1210921311013	10,0
1210921211025	 9,0
1210921211014	14,0
1210921211028	17,0
1210921111041	10,0
1210921211001	11,0
1210921111030	14,0
1210921211005	13,0
1210921211037	13,0
1210921211024	10,0
1210921311013	15,0
1210921211025	18,0
1210921211014	12,0
1210921211028	10,0
1210921111041	12,0
1210921211001	13,0
1210921111030	14,0
1210921211005	11,0
1210921211037	10,0
1210921211024	 9,0
1210921311013	16,0
1210921211025	14,0
1210921211014	13,0
1210921211028	11,0
1210921111041	11,0
1210921211001	15,0
1210921111030	10,0
1210921211005	 9,0
1210921211037	11,0
1210921211024	13,0
